latencyMs,operationType,quorumCheckOnRead,leaseEnabled,deferCommitEnabled,inheritLeaseEnabled,size,threads,operations,date,operationsPerSec
0,read,False,False,False,False,1024,100,100000,2025-01-22T19:27:16.022230,64436.6
0,write,False,False,False,False,1024,100,100000,2025-01-22T19:28:11.212742,2382.65
100,read,False,False,False,False,1024,100,100000,2025-01-22T19:28:38.786015,64740.6
100,write,False,False,False,False,1024,100,100000,2025-01-22T19:29:35.874492,84.7083
200,read,False,False,False,False,1024,100,100000,2025-01-22T19:30:05.376777,65140.6
200,write,False,False,False,False,1024,100,100000,2025-01-22T19:30:59.769107,42.0193
300,read,False,False,False,False,1024,100,100000,2025-01-22T19:31:20.681374,64990.8
300,write,False,False,False,False,1024,100,100000,2025-01-22T19:32:19.418871,25.8603
400,read,False,False,False,False,1024,100,100000,2025-01-22T19:32:48.696095,65058.0
400,write,False,False,False,False,1024,100,100000,2025-01-22T19:33:44.524471,19.2116
500,read,False,False,False,False,1024,100,100000,2025-01-22T19:34:12.306551,64835.5
500,write,False,False,False,False,1024,100,100000,2025-01-22T19:35:11.775276,15.2635
0,read,True,False,False,False,1024,100,100000,2025-01-22T19:35:42.830345,19639.7
0,write,True,False,False,False,1024,100,100000,2025-01-22T19:36:31.219804,2329.8
100,read,True,False,False,False,1024,100,100000,2025-01-22T19:37:25.533123,85.1783
100,write,True,False,False,False,1024,100,100000,2025-01-22T19:38:23.890732,77.333
200,read,True,False,False,False,1024,100,100000,2025-01-22T19:39:23.153042,41.2279
200,write,True,False,False,False,1024,100,100000,2025-01-22T19:40:22.535593,39.0645
300,read,True,False,False,False,1024,100,100000,2025-01-22T19:41:25.029094,26.2358
300,write,True,False,False,False,1024,100,100000,2025-01-22T19:42:19.703419,25.8821
400,read,True,False,False,False,1024,100,100000,2025-01-22T19:43:16.750972,19.726
400,write,True,False,False,False,1024,100,100000,2025-01-22T19:44:11.944475,19.3517
500,read,True,False,False,False,1024,100,100000,2025-01-22T19:45:11.636996,15.7189
500,write,True,False,False,False,1024,100,100000,2025-01-22T19:46:15.851480,15.284
